Date,Real_GDP_Crore,GVA_Agriculture,GVA_Construction,GVA_Utilities,GVA_Finance_RealEstate,GVA_Manufacturing,GVA_Mining,GVA_PublicAdmin,GVA_Trade_Transport,CPI,IIP_General,WPI_All_Commodities,USD_INR_Rate,Repo_Rate,GSec_10Y_Yield,Non_Food_Credit,Nifty50_Price,Forex_Reserves_INR_Crore,Inflation_Rate_Monthly_RBI,Gross_Bank_Credit,Credit_to_Industry,Credit_to_Services,Personal_Loans,GST_Collection,Urban_Youth_Unemployment_Rate,Female_Labor_Force_Participation,Gross_Fiscal_Deficit_Percent_GDP,Gross_Fixed_Capital_Formation_Percent_GDP,Power_Consumption_KWh,Infant_Mortality_Rate,Life_Expectancy_Years,Gini_Index,HDI_Score,Expected_Years_Schooling,GNI_Per_Capita_PPP
2019-03-01,1203545.7789999999,163962.13524582118,91742.79525209188,23655.71158184327,200109.23334778656,205646.74618164942,32226.842635088356,139827.84121780537,231497.54469561347,138.1,144.1,119.9,69.1713,6.25,7.3391,9389964.031192258,11570.0,19756988.49372,2.86,9771722.4352,2837528.33,2340658.53,2303143.51,106577.1573002,22.5,26.459934246575344,5.8,28.271850760307625,974.229750823347,29.457534246575342,70.6506301369863,26.383464566929135,0.6511616438356165,11.814622016931509,7804.356710128767
2019-04-01,1184880.5033333332,159438.54152642004,90143.57998577347,24639.084763055984,222213.2471547995,199856.49518452422,30549.315765250318,136957.2635033727,227906.5608136271,139.4,126.5,121.1,69.8368,6.25,7.4409,9725034.493701668,11748.150390625,20366510.556,2.99,9620945.4915,2817879.12,2279245.15,2308478.86,113865.52753499996,26.610869565217392,26.41313698630137,5.920196994535519,28.17585922115731,966.8515308185712,29.33013698630137,70.60052054794521,26.35748031496063,0.6512465753424658,11.846484939726029,7756.498654315068
2019-05-01,1184364.4527838829,155060.8701850641,88595.95230869115,25590.736228745704,243604.2282583604,194253.02647762888,28925.902665407062,134179.28507005077,224431.41512138213,140.9,135.4,121.6,69.8058,6.0,7.0706,9577075.330355806,11922.7998046875,20487460.59,3.05,9621544.9886,2771471.96,2231603.91,2321474.46,100288.5192143,30.58913043478261,26.367849315068497,6.0365166666666665,28.08296418326992,959.7113179107234,29.20684931506849,70.55202739726028,26.331496062992127,0.6513287671232877,11.877320026301373,7710.184406753425
2019-06-01,1183831.2005494507,150537.27646566296,86996.73704237274,26574.10940995841,265708.24206537334,188462.77548050368,27248.375795569023,131308.7073556181,220840.43123939575,142.7,129.3,121.5,68.918,6.0,6.9332,9556539.944817334,11788.849609375,20422440.9,3.18,9648768.2613,2780229.12,2232076.45,2339939.57,99938.8797233,34.7,26.32105205479452,6.156713661202185,27.98697264411961,952.3330979059476,29.07945205479452,70.50191780821918,26.30551181102362,0.651413698630137,11.909182949095891,7662.326350939726
2019-07-01,1183315.1500000001,143162.96475661758,84912.98513382506,26336.4910664745,272261.971783163,188129.76861194367,25293.70965730704,135976.20688689253,217987.96682797882,144.7,131.8,121.3,68.8569,5.75,6.47,9577833.535289032,11118.0,20319686.55068,3.15,9658377.6835,2761535.02,2251033.96,2367432.28,102082.1415503,30.10217391304348,26.275764383561643,6.273033333333333,27.89407760623222,945.1928849981,28.95616438356164,70.45342465753424,26.27952755905512,0.6514958904109589,11.940018035671232,7616.012103378082
2019-08-01,1189316.3007246377,135542.84265727067,82759.77482832581,26090.95211154113,279034.15915821237,187785.66151443167,23273.887981102987,140799.2897358761,215040.42026951464,145.9,126.2,121.5,71.7586,5.75,6.6974,9593195.033788707,11023.25,21872809.47771,3.28,9680153.4437,2737075.98,2269022.52,2387855.12,98202.1776132,25.35108695652174,26.22896712328767,6.393230327868852,27.79808606708191,937.814664993324,28.82876712328767,70.40331506849316,26.253543307086613,0.6515808219178082,11.971880958465754,7568.154047564383
2019-09-01,1195317.4514492752,127922.72055792373,80606.56452282656,25845.413156607756,285806.3465332617,187441.55441691968,21254.066304898937,145622.37258485972,212092.87371105046,147.0,122.9,121.3,70.685,5.4,6.8473,9620795.021734666,11474.4501953125,21694218.75328,3.99,9766853.85619,2730943.18,2321272.93,2425102.4,91916.2223239,20.6,26.18216986301369,6.513427322404372,27.702094527931603,930.436444988548,28.7013698630137,70.35320547945206,26.22755905511811,0.6516657534246576,12.003743881260274,7520.295991750685
2019-10-01,1201125.0166666666,154319.98223702188,82492.7338025337,25080.57426164451,259330.43125709033,185444.30827306464,22611.4468890866,146971.16084158965,214848.09453564227,149.6,124.0,122.0,70.8095,5.4,6.54,9710769.267395806,11877.4501953125,22423087.906362,4.62,9840562.3137,2892418.98,2465636.55,2561501.64,95379.22880659996,20.13846153846153,26.136882191780824,6.629746994535519,27.609199490044208,923.2962320807004,28.578082191780823,70.30471232876712,26.201574803149608,0.6517479452054795,12.034578967835616,7473.981744189041
2019-11-01,1226206.2169927536,181597.15263875658,84441.7753915644,24290.240736849166,231971.98547171324,183380.4872577477,24014.073492747182,148364.9087068773,217695.1560543872,151.9,128.8,122.3,71.7255,5.15,6.6464,9770724.198783,12056.0498046875,23225442.140394,5.54,9860302.64996,2866553.89,2465378.47,2578861.85,103490.8781733,19.661538461538463,26.09008493150685,6.749943989071038,27.513207950893904,915.9180120759246,28.45068493150685,70.25460273972602,26.175590551181102,0.6518328767123288,12.066441890630138,7426.123688375343
2019-12-01,1250478.3463405797,207994.4143178547,86327.94467127153,23525.40184188592,205496.07019554183,181383.24111389267,25371.45407693485,149713.69696360722,220450.376878979,155.0,134.5,123.0,71.274,5.15,6.7762,9772008.312301615,12168.4501953125,23409348.28895,7.35,10036091.7838,2848416.11,2482561.96,2604683.62,103184.1543385,19.2,26.044797260273977,6.8662636612021855,27.42031291300651,908.777799168077,28.327397260273973,70.2061095890411,26.1496062992126,0.6519150684931507,12.09727697720548,7379.809440813699
